Table 1
LocationType,Location,TimeFrame,DataFormat,Data,,
County,Jasper,2015,Percent,0.9,,
County,Jasper,2016,Percent,0.896,,
County,Jefferson,2014,Percent,0.923,,
County,Jefferson,2015,Percent,0.937,,
County,Jefferson,2016,Percent,0.943,,
County,Johnson,2014,Percent,0.961,,
County,Johnson,2015,Percent,0.936,,
County,Johnson,2016,Percent,0.95,,
County,Knox,2014,Percent,0.967,,
County,Knox,2015,Percent,0.98,,
County,Knox,2016,Percent,0.973,,
County,Laclede,2014,Percent,0.917,,
County,Laclede,2015,Percent,0.931,,
County,Laclede,2016,Percent,0.942,,
County,Lafayette,2014,Percent,0.953,,
County,Lafayette,2015,Percent,0.959,,
County,Lafayette,2016,Percent,0.968,,
County,Lawrence,2014,Percent,0.924,,
County,Lawrence,2015,Percent,0.929,,
County,Lawrence,2016,Percent,0.944,,
County,Lewis,2014,Percent,0.942,,
County,Lewis,2015,Percent,0.972,,
County,Lewis,2016,Percent,1,,
County,Lincoln,2014,Percent,0.952,,
County,Lincoln,2015,Percent,0.94,,
County,Lincoln,2016,Percent,0.924,,
County,Linn,2014,Percent,0.957,,
County,Linn,2015,Percent,0.961,,
County,Linn,2016,Percent,0.967,,
County,Livingston,2014,Percent,0.955,,
County,Livingston,2015,Percent,0.946,,
County,Livingston,2016,Percent,0.976,,
County,McDonald,2014,Percent,0.892,,
County,McDonald,2015,Percent,0.941,,
County,McDonald,2016,Percent,0.936,,
County,Macon,2014,Percent,0.926,,
County,Macon,2015,Percent,0.945,,
County,Macon,2016,Percent,0.966,,
County,Madison,2014,Percent,0.973,,
County,Madison,2015,Percent,0.97,,
County,Madison,2016,Percent,0.993,,
County,Maries,2014,Percent,0.919,,
County,Maries,2015,Percent,0.938,,
County,Maries,2016,Percent,0.919,,
County,Marion,2014,Percent,0.964,,
County,Marion,2015,Percent,0.94,,
County,Marion,2016,Percent,0.975,,
County,Mercer,2014,Percent,1,,
County,Mercer,2015,Percent,1,,
County,Mercer,2016,Percent,1,,
County,Miller,2014,Percent,0.923,,
County,Miller,2015,Percent,0.972,,
County,Miller,2016,Percent,0.961,,
County,Mississippi,2014,Percent,0.929,,
County,Mississippi,2015,Percent,0.947,,
County,Mississippi,2016,Percent,0.994,,
County,Moniteau,2014,Percent,0.905,,
County,Moniteau,2015,Percent,0.96,,
County,Moniteau,2016,Percent,0.966,,
County,Monroe,2014,Percent,0.909,,
County,Monroe,2015,Percent,0.904,,
County,Monroe,2016,Percent,0.964,,
County,Montgomery,2014,Percent,0.938,,
County,Montgomery,2015,Percent,0.925,,
County,Montgomery,2016,Percent,0.891,,
County,Morgan,2014,Percent,1,,
County,Morgan,2015,Percent,0.965,,
County,Morgan,2016,Percent,0.992,,
County,New Madrid,2014,Percent,0.966,,
County,New Madrid,2015,Percent,0.984,,
County,New Madrid,2016,Percent,0.979,,
County,Newton,2014,Percent,0.923,,
County,Newton,2015,Percent,0.914,,
County,Newton,2016,Percent,0.905,,
County,Nodaway,2014,Percent,0.971,,
County,Nodaway,2015,Percent,0.968,,
County,Nodaway,2016,Percent,0.979,,
County,Oregon,2014,Percent,0.993,,
County,Oregon,2015,Percent,0.993,,
County,Oregon,2016,Percent,0.993,,
County,Osage,2014,Percent,0.957,,
County,Osage,2015,Percent,0.986,,
County,Osage,2016,Percent,0.988,,
County,Ozark,2014,Percent,0.992,,
County,Ozark,2015,Percent,0.983,,
County,Ozark,2016,Percent,0.984,,
County,Pemiscot,2014,Percent,0.885,,
County,Pemiscot,2015,Percent,0.905,,
County,Pemiscot,2016,Percent,0.935,,
County,Perry,2014,Percent,0.925,,
County,Perry,2015,Percent,0.893,,
County,Perry,2016,Percent,0.903,,
County,Pettis,2014,Percent,0.982,,
County,Pettis,2015,Percent,0.983,,
County,Pettis,2016,Percent,0.968,,
County,Phelps,2014,Percent,0.88,,
County,Phelps,2015,Percent,0.902,,
County,Phelps,2016,Percent,0.901,,
County,Pike,2014,Percent,0.901,,
County,Pike,2015,Percent,0.913,,
County,Pike,2016,Percent,0.931,,
County,Platte,2014,Percent,0.941,,
County,Platte,2015,Percent,0.949,,
County,Platte,2016,Percent,0.947,,
County,Polk,2014,Percent,0.948,,
County,Polk,2015,Percent,0.935,,
County,Polk,2016,Percent,0.933,,
County,Pulaski,2014,Percent,0.951,,
County,Pulaski,2015,Percent,0.964,,
County,Pulaski,2016,Percent,0.965,,
County,Putnam,2014,Percent,0.983,,
County,Putnam,2015,Percent,0.962,,
County,Putnam,2016,Percent,0.961,,
County,Ralls,2014,Percent,0.821,,
County,Ralls,2015,Percent,0.892,,
County,Ralls,2016,Percent,0.952,,
County,Randolph,2014,Percent,0.91,,
County,Randolph,2015,Percent,0.903,,
County,Randolph,2016,Percent,0.932,,
County,Ray,2014,Percent,0.942,,
County,Ray,2015,Percent,0.911,,
County,Ray,2016,Percent,0.95,,
County,Reynolds,2014,Percent,1,,
County,Reynolds,2015,Percent,0.987,,
County,Reynolds,2016,Percent,0.976,,
County,Ripley,2014,Percent,0.932,,
County,Ripley,2015,Percent,0.924,,
County,Ripley,2016,Percent,0.903,,
County,St. Charles,2014,Percent,0.942,,
County,St. Charles,2015,Percent,0.939,,
County,St. Charles,2016,Percent,0.945,,
County,St. Clair,2014,Percent,0.891,,
County,St. Clair,2015,Percent,0.891,,
County,St. Clair,2016,Percent,0.957,,
County,Ste. Genevieve,2014,Percent,0.937,,
County,Ste. Genevieve,2015,Percent,0.922,,
County,Ste. Genevieve,2016,Percent,0.895,,
County,St. Francois,2014,Percent,0.931,,
County,St. Francois,2015,Percent,0.932,,
County,St. Francois,2016,Percent,0.928,,
County,St. Louis,2014,Percent,0.91,,
County,St. Louis,2015,Percent,0.912,,
County,St. Louis,2016,Percent,0.925,,
County,Saline,2014,Percent,0.95,,
County,Saline,2015,Percent,0.871,,
County,Saline,2016,Percent,0.932,,
County,Schuyler,2014,Percent,0.952,,
County,Schuyler,2015,Percent,0.98,,
County,Schuyler,2016,Percent,1,,
County,Scotland,2014,Percent,0.975,,
County,Scotland,2015,Percent,0.949,,
County,Scotland,2016,Percent,0.979,,
County,Scott,2014,Percent,0.97,,
County,Scott,2015,Percent,0.961,,
County,Scott,2016,Percent,0.946,,
County,Shannon,2014,Percent,1,,
County,Shannon,2015,Percent,0.983,,
County,Shannon,2016,Percent,1,,
County,Shelby,2014,Percent,0.962,,
County,Shelby,2015,Percent,0.962,,
County,Shelby,2016,Percent,0.933,,
County,Stoddard,2014,Percent,0.936,,
County,Stoddard,2015,Percent,0.948,,
County,Stoddard,2016,Percent,0.953,,
County,Stone,2014,Percent,0.957,,
County,Stone,2015,Percent,0.947,,
County,Stone,2016,Percent,0.979,,
County,Sullivan,2014,Percent,0.944,,
County,Sullivan,2015,Percent,1,,
County,Sullivan,2016,Percent,0.983,,
County,Taney,2014,Percent,0.937,,
County,Taney,2015,Percent,0.961,,
County,Taney,2016,Percent,0.971,,
County,Texas,2014,Percent,0.948,,
County,Texas,2015,Percent,0.957,,
County,Texas,2016,Percent,0.953,,
County,Vernon,2014,Percent,0.864,,
County,Vernon,2015,Percent,0.907,,
County,Vernon,2016,Percent,0.896,,
County,Warren,2014,Percent,0.959,,
County,Warren,2015,Percent,0.967,,
County,Warren,2016,Percent,0.948,,
County,Washington,2014,Percent,0.879,,
County,Washington,2015,Percent,0.921,,
County,Washington,2016,Percent,0.928,,
County,Wayne,2014,Percent,0.939,,
County,Wayne,2015,Percent,0.907,,
County,Wayne,2016,Percent,0.89,,
County,Webster,2014,Percent,0.941,,
County,Webster,2015,Percent,0.945,,
County,Webster,2016,Percent,0.95,,
County,Worth,2014,Percent,0.962,,
County,Worth,2015,Percent,0.958,,
County,Worth,2016,Percent,0.962,,
County,Wright,2014,Percent,0.982,,
County,Wright,2015,Percent,0.979,,
County,Wright,2016,Percent,0.986,,
County,St. Louis City,2014,Percent,0.557,,
County,St. Louis City,2015,Percent,0.575,,
County,St. Louis City,2016,Percent,0.701,,
